tournament_id,event,course,location,dates,position,player,affiliation,to_par,today,r1,r2,r3,r4,total,round_sum,total_delta,source_file
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",3,Tara Eckes,Hayward,+18,+3,87,75,,,162,162,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",4,Aubrey Molaison,Lake Country Lutheran,+21,+8,85,80,,,165,165,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",5,Avery Voeltz,Spooner,+30,+22,80,94,,,174,174,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",6,Layla Thompson,Spooner,+33,+20,85,92,,,177,177,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",7,Tennysen Makepeace,Aquinas,+36,+20,88,92,,,180,180,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",8,Ava Thompson,Spooner,+37,+21,88,93,,,181,181,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",9,Morgan Lewis,Seymour,+39,+20,91,92,,,183,183,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",10,Taylor Miller,Oconto Falls,+41,+21,92,93,,,185,185,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",11,Sydney Koetterhagen,Catholic Memorial,+42,+20,94,92,,,186,186,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",12,Regan Hermanson,Marinette,+43,+22,93,94,,,187,187,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T13,Naomi Clayton,Edgewood,+44,+20,96,92,,,188,188,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T13,Lexi Marks,Ellsworth,+44,+21,95,93,,,188,188,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T13,Lexi Clark,Edgewood,+44,+23,93,95,,,188,188,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",16,Mya Bindl,Edgewood,+45,+26,91,98,,,189,189,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T17,Georgia Caulum,Edgewood,+49,+23,98,95,,,193,193,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T17,Riley Riesch,Catholic Memorial,+49,+28,93,100,,,193,193,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",19,Olive Jaeger,Edgewood,+50,+26,96,98,,,194,194,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",20,Brooklyn Bussan,Southwestern Co-op,+51,+33,90,105,,,195,195,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",21,Kay Lee McClintock,Freedom,+52,+27,97,99,,,196,196,0,raw/junior_event_pages/player_29297.html
